
KD_KEC	   KD_KEL     NM_KECAMATAN		NM_KELURAHAN
120	   013	      SUKODONO			DAWUHANLOR
121	   001	      PADANG			MERAKAN
121	   002	      PADANG			TANGGUNG
121	   003	      PADANG			KALISEMUT
121	   004	      PADANG			PADANG
121	   005	      PADANG			MOJO
121	   006	      PADANG			KEDAWUNG
121	   007	      PADANG			BABAKAN
121	   008	      PADANG			BODANG
121	   009	      PADANG			BARAT
130	   006	      SENDURO			PURWOREJO
130	   007	      SENDURO			SARIKEMUNING
130	   011	      SENDURO			BURNO
130	   012	      SENDURO			SENDURO
130	   013	      SENDURO			PANDANSARI
130	   014	      SENDURO			BEDAYU
130	   015	      SENDURO			BEDAYUTALANG
130	   016	      SENDURO			WONOCEPOKOAYU
130	   017	      SENDURO			KANDANGAN
130	   018	      SENDURO			KANDANGTEPUS
130	   019	      SENDURO			ARGOSARI
130	   020	      SENDURO			RANUPANI
131	   001	      PASRUJAMBE		PASRUJAMBE
131	   002	      PASRUJAMBE		JAMBEKUMBU
131	   003	      PASRUJAMBE		SUKOREJO
131	   004	      PASRUJAMBE		JAMBEARUM
131	   005	      PASRUJAMBE		KERTOSARI
131	   006	      PASRUJAMBE		PAGOWAN
131	   007	      PASRUJAMBE		KARANGANOM
140	   001	      GUCIALIT			WONOKERTO
140	   002	      GUCIALIT			PAKEL
140	   003	      GUCIALIT			KENONGO
140	   004	      GUCIALIT			GUCIALIT
140	   005	      GUCIALIT			DADAPAN
140	   006	      GUCIALIT			KERTOWONO
140	   007	      GUCIALIT			TUNJUNG
140	   008	      GUCIALIT			JERUK
140	   009	      GUCIALIT			SOMBO
150	   001	      KLAKAH			KLAKAH
150	   002	      KLAKAH			MLAWANG
150	   003	      KLAKAH			TEGALRANDU
150	   004	      KLAKAH			RANUPAKIS
150	   005	      KLAKAH			KEBONAN
150	   006	      KLAKAH			SRUNI
150	   007	      KLAKAH			SAWARANLOR
150	   008	      KLAKAH			TEGALCIUT
150	   009	      KLAKAH			KUDUS
150	   010	      KLAKAH			PAPRINGAN
150	   011	      KLAKAH			SUMBERWRINGIN
150	   012	      KLAKAH			DUREN
151	   001	      KEDUNGJAJANG		TEMPURSARI
151	   002	      KEDUNGJAJANG		BANDARAN
151	   003	      KEDUNGJAJANG		GROBOGAN
151	   004	      KEDUNGJAJANG		KEDUNGJAJANG
151	   005	      KEDUNGJAJANG		CURAHPETUNG
151	   006	      KEDUNGJAJANG		BENCE
151	   007	      KEDUNGJAJANG		KRASAK
151	   008	      KEDUNGJAJANG		JATISARI
151	   009	      KEDUNGJAJANG		PANDANSARI
151	   010	      KEDUNGJAJANG		SAWARANKULON
151	   011	      KEDUNGJAJANG		UMBUL
151	   012	      KEDUNGJAJANG		WONOREJO
160	   001	      RANUYOSO			JENGGRONG
160	   002	      RANUYOSO			MENINJO
160	   003	      RANUYOSO			TEGALBANGSRI
160	   004	      RANUYOSO			SUMBERPETUNG
160	   005	      RANUYOSO			ALUN-ALUN
160	   006	      RANUYOSO			RANUBEDALI
160	   007	      RANUYOSO			RANUYOSO
160	   008	      RANUYOSO			WONOAYU
160	   009	      RANUYOSO			PENAWUNGAN
160	   010	      RANUYOSO			WATESKULON
160	   011	      RANUYOSO			WATESWETAN
